SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
All,1,8,0,1086.069094,1114.058904,1080.084515,1018.069912,982.0995607
1,2,8,0,258.0103471,196,224.0087141,190,202.0073809
2,2,8,0,192.0089035,202,173,166.0068009,177.0257909
3,2,8,0,191.0083617,181.0082714,160,173,160.008013
4,2,8,0,152.0163457,150.0080455,149,148,120.0051304
5,2,8,0,108.0143417,129.0074212,110.0072802,118.013242,137.0180471
All,2,8,0,901.0604316,858.0241851,816.0152713,795.022134,796.0584757
1,1,9,0,264,237.0165506,270,245.017029,255.0327173
2,1,9,0,266.0341029,251.0217011,237.0088844,256,212.0172012
3,1,9,0,246.0119081,213,207.0087148,214.0168023,199.0081664
4,1,9,0,177.0193162,181.0297363,179,142.0072128,167.0263211
5,1,9,0,142.02671,162.0281684,156,153.0546697,133.0128697
All,1,9,0,1095.091939,1044.095527,1049.018465,1010.098022,966.100269
1,2,9,0,222,229.0083757,243.0193845,199,183.0129719
2,2,9,0,196,186.0085893,202.0088929,186,170.0074094
3,2,9,0,176.0168864,190.0168566,177.0083019,181,161
4,2,9,0,152,166.0096597,126.0064619,154.0082345,137
5,2,9,0,117.0070873,116.0053717,109,100.0140274,103.0116501
All,2,9,0,863.0252089,887.0506828,857.0401831,820.023353,754.0352044
1,1,10,0,249.0172919,273.0182776,282.0369276,255.0078288,240.021638
2,1,10,0,254.0102343,263,221.0184102,244.0099208,189
3,1,10,0,231.0199447,222.0092963,212.0076807,209,178
4,1,10,0,183.0088469,194.0094377,186.0347685,165.0082079,168.0082155
5,1,10,0,140.0157249,154.029557,134.0139567,164.0710552,142.0079357
All,1,10,0,1057.07442,1106.075402,1035.113309,1037.094698,917.0373831
1,2,10,0,230,217,232.0085424,184,184
2,2,10,0,189.008075,209,178,201.025703,195
3,2,10,0,180.0089301,179.0084446,193,174,149
4,2,10,0,147,160.0073939,134,147,141
5,2,10,0,110,100.0043006,108,115.0254659,111
All,2,10,0,856.0155779,865.0232604,845.0075201,821.0506665,780
1,1,11,0,249.008551,252.0413138,239.0074366,251.0081088,251.0159877
2,1,11,0,228.0087831,252,242.0091302,192,215.0078964
3,1,11,0,237,210.0151385,206,196,187
4,1,11,0,168.0087078,203.0111612,169.0327934,177.0091203,156.014676
5,1,11,0,134.0065765,143.0179308,130.0071979,146.0662024,139.0149356
All,1,11,0,1016.036397,1060.091447,986.058153,962.0804651,948.0537676
1,2,11,0,195,203.007608,207,190,196.0077525
2,2,11,0,195,180,186.0079011,176,166.0061334
3,2,11,0,165.0085046,160.0062448,171,154,149
4,2,11,0,126,131,123.00659,140,130.0057335
5,2,11,0,119.0044439,102.0307392,125.0080067,102.0107298,111.0320869
All,2,11,0,800.014798,776.0487691,812.0217124,762.013391,752.0520447
1,1,12,0,269.0089043,264.0400678,251.007713,255.0156712,236.0080962
2,1,12,0,237.0185245,228.0091603,210.0372547,208.0060368,232
3,1,12,0,241.0198017,220,203,226,208
4,1,12,0,232,204.0370074,181.0080645,179.0077359,170.0082169
5,1,12,0,147.0159925,145.0158382,141.0211047,146.0309386,143.0362594
All,1,12,0,1126.066259,1061.100605,986.075188,1014.06352,989.0528542
1,2,12,0,220.0136128,203.0180063,225.0079344,156,195
2,2,12,0,164.0188633,169,198.0147753,167,176.0077484
3,2,12,0,175.0068844,171,175.0068478,154,135.0053055
4,2,12,0,158,161.014796,144,153.0075272,157
5,2,12,0,119.0057047,129,119,95.00959601,110.0106422
All,2,12,0,836.0509916,833.0339623,861.0270107,725.0178921,773.0247398
1,1,1,4-Jan,49,54.00335748,42.0059198,54,51
2,1,1,4-Jan,43.00280878,41.00138964,34.0013555,43.00541378,31
3,1,1,4-Jan,38.00140231,27,35.00145804,36,36.00090423
4,1,1,4-Jan,26.00366737,29,30.00195677,25.00452161,24.00106667
5,1,1,4-Jan,32.00323858,20,22.00088452,36,23.00341273
All,1,1,4-Jan,188.0128768,171.0041188,163.0110708,194.0107605,165.0062644
1,2,1,4-Jan,39.00133206,35,34,44,33.00085319
2,2,1,4-Jan,26,39,25,29.00109036,37
3,2,1,4-Jan,23.00094251,25,29,30,21.00165087
4,2,1,4-Jan,16.00135532,25,17,29,27
5,2,1,4-Jan,23.0012959,26,15,26,20.00065402
All,2,1,4-Jan,127.0047409,150,120,158.0011087,138.0043829
1,1,2,4-Jan,48.00465914,40.00330215,42,45,47
2,1,2,4-Jan,45.00178602,28.00180565,38,50.00381194,37
3,1,2,4-Jan,31.00136752,42.00165714,46.00240158,38.00087329,29
4,1,2,4-Jan,36.00547734,32.0031988,22.00131207,30.00129922,28.00427706
5,1,2,4-Jan,22.00093864,26,18,12,20.00545893
All,1,2,4-Jan,182.0144714,168.0100929,166.0028108,175.0058322,161.0107541
1,2,2,4-Jan,55.00179892,31,30.00065703,38,42
2,2,2,4-Jan,25,37,29,20,21
3,2,2,4-Jan,22.00083935,31,28,24.00119108,34
4,2,2,4-Jan,30.00139553,21,14.00137391,19.00088854,31
5,2,2,4-Jan,13,24,25,20,15
All,2,2,4-Jan,145.003821,144,126.0032672,121.0020689,143
1,1,3,4-Jan,43.00348389,51,54.00331453,59,41.00195346
2,1,3,4-Jan,45,52.00388199,41.00454553,50.00539447,26.00093863
3,1,3,4-Jan,46.00151988,35.00103125,39.00156629,43.00163335,37.00140595
4,1,3,4-Jan,32.00352595,24.00232198,30.00277411,27.00331461,20.00214286
5,1,3,4-Jan,24,26.00395236,22.00510258,17.00424638,23.00220609
All,1,3,4-Jan,190.0093721,188.0121433,186.0175526,196.0184936,147.0089865
1,2,3,4-Jan,50,37.00114811,45,32.00106708,30.00180694
2,2,3,4-Jan,30.00195838,48,38.00293284,30.00236238,37
3,2,3,4-Jan,22,33.00112036,30,26,31
4,2,3,4-Jan,17.00160278,29,19.00102929,23.00142248,23
5,2,3,4-Jan,14.00136439,19,19,20,22.00129666
All,2,3,4-Jan,133.0065917,166.002757,151.0036369,131.0043089,143.0034581
1,1,4,4-Jan,70.00183727,64.00386374,55,55,60.00209417
2,1,4,4-Jan,42,59.00270625,35.0040128,39.00448036,44.00185371
3,1,4,4-Jan,48,41.0034842,32.00263451,29.00258169,34
4,1,4,4-Jan,29.00300167,27.00273138,37,17.00068742,24.00469208
5,1,4,4-Jan,25.00160944,25.00447069,26.00404858,18.00285423,22.00178501
All,1,4,4-Jan,214.0075629,216.0186887,185.0125438,158.011917,184.0106607
1,2,4,4-Jan,42,45,46.00222239,28.0009441,40
2,2,4,4-Jan,26.00116988,32.0013947,27,32,39.00285426
3,2,4,4-Jan,31.00161799,24,27.00123088,19.00209424,23
4,2,4,4-Jan,21,21.00113227,18.0014014,20.00130365,22.00130798
5,2,4,4-Jan,18,26.00092743,19,14,14
All,2,4,4-Jan,138.003722,148.0039785,137.0048142,113.003971,138.0036181
1,1,5,4-Jan,68,56.00322377,54,66.00233012,58.00370922
