SES.Quintile,Sex,Month,Age,Deaths.2015,Deaths.2016,Deaths.2017,Deaths.2018,Deaths.2019
4,1,11,14-May,43.00322511,47.00276469,42.00711181,34.00147102,46.00432807
5,1,11,14-May,44.00219218,31.00247321,33.00215938,40.01453224,41.00432347
All,1,11,14-May,254.0090991,251.021654,268.0158063,251.0209945,269.0152568
1,2,11,14-May,50,51.00143934,46,39,46.00191967
2,2,11,14-May,41,46,42.00145998,45,40.00132615
3,2,11,14-May,42.00230333,49.00192855,37,31,34
4,2,11,14-May,24,27,33.00188285,31,32.00118624
5,2,11,14-May,22.00091158,23.00686965,23.00166372,18.0020245,30.00710747
All,2,11,14-May,179.003311,196.012318,181.0048398,164.002882,182.0125959
1,1,12,14-May,68.00221029,66.00985213,94.00324437,69.00424889,75.00261568
2,1,12,14-May,57.00444803,60.00236641,64.01121125,39.00181105,75
3,1,12,14-May,53.00435987,65,54,52,51
4,1,12,14-May,38,35.00721896,46.00188172,41.0020689,46.00255638
5,1,12,14-May,33.00369287,25.0026715,47.0069519,34.00661797,48.01272985
All,1,12,14-May,249.0146524,251.0238001,305.0232579,235.0147212,295.0157654
1,2,12,14-May,50.00323472,67.00482643,57.00211584,62,45
2,2,12,14-May,38.00414522,43,39.00243717,37,51.00233205
3,2,12,14-May,40.0015887,38,36.00127925,42,28.00096463
4,2,12,14-May,34,28.00257217,29,41.00204442,35
5,2,12,14-May,26.00178971,27,30,37.00364648,39.00376977
All,2,12,14-May,188.011467,203.0082765,191.0059919,219.0054046,198.006337
1,1,1,15-24,450,424.0265708,455.0661903,431,431
2,1,1,15-24,394.026166,387.013742,445.0152672,426.0558776,352
3,1,1,15-24,395.0141789,403,420.0170591,396,348.0127345
4,1,1,15-24,317.0612451,306,352.0161879,328.0524258,294.0129778
5,1,1,15-24,285.0296869,276,282.0126781,314,258.0375621
All,1,1,15-24,1841.126097,1796.043259,1954.132714,1895.105109,1683.063897
1,2,1,15-24,183.0050111,155,209,201,152.0051801
2,2,1,15-24,144,154,174,172.0061333,167
3,2,1,15-24,148.0060478,153,162,124,140.0111075
4,2,1,15-24,117.0098543,118,147,116,105
5,2,1,15-24,104.0038877,95,105,121,77.00401757
All,2,1,15-24,696.0259814,675,797,734.0051507,641.0203584
1,1,2,15-24,387.0388525,425.0293065,412,393,375
2,1,2,15-24,318.0126722,400.0320092,371,351.0268424,336
3,1,2,15-24,316.0135897,374.0160742,362.0139806,364.0141315,320
4,1,2,15-24,258.0407706,323.0325061,286.0140291,273.013392,257.0362375
5,1,2,15-24,211.0120849,281,244,245,228.060946
All,1,2,15-24,1490.118474,1803.108318,1675.028362,1626.05419,1516.101262
1,2,2,15-24,159.0054634,148,148.0047963,164,169
2,2,2,15-24,115,145,121,147,125
3,2,2,15-24,104.0046164,140,152,119.0051046,122
4,2,2,15-24,105.0048844,107,119.0116788,94.00454142,88
5,2,2,15-24,100,92,78,105,87
All,2,2,15-24,583.0153629,632,618.0160246,629.010755,591
1,1,3,15-24,418.0372227,477,454.0276858,425,439.0236714
2,1,3,15-24,376,406.0319876,426.0460914,404.0415824,354.0120578
3,1,3,15-24,370.0157587,462.0167381,427.0164461,381.0141557,394.0139855
4,1,3,15-24,318.0313418,372.0369582,337.0311723,327.0497192,323.0294643
5,1,3,15-24,264,287.0434584,299.0618525,264.067203,251.0229801
All,1,3,15-24,1746.086124,2004.129443,1943.183358,1801.169934,1761.107655
1,2,3,15-24,163,205.006187,183,156.0050509,173.0122316
2,2,3,15-24,165.0109343,141,164.0126348,151.0119111,131
3,2,3,15-24,139,167.0079225,190,128,133
4,2,3,15-24,128.0120685,118,123.005895,131.0072072,110
5,2,3,15-24,92.01033038,126,81,109,80.00370473
All,2,3,15-24,687.0340487,757.0125728,741.0178474,675.0222021,627.0151626
1,1,4,15-24,441.0143045,465.0282053,442,450,395.0134432
2,1,4,15-24,407,389.0139413,420.0497874,377.0304024,343.0139028
3,1,4,15-24,373,413.0350941,431.0355892,333.0293667,343
4,1,4,15-24,311.0321783,350.0353989,321,305.0163999,325.0483871
5,1,4,15-24,266.0165236,302.0511304,311.0500713,262.0591233,246.0285601
All,1,4,15-24,1798.063543,1919.166035,1925.130523,1727.130258,1652.095714
1,2,4,15-24,186,178,180.0063606,163.0053948,169
2,2,4,15-24,141.0137044,137.005666,140,155,146.0110813
3,2,4,15-24,131.0062165,145,146.0065061,149.0118674,138
4,2,4,15-24,114,105.0052496,134.014014,119.0052146,117.0059362
5,2,4,15-24,97,98.00463714,106,93,111
All,2,4,15-24,669.0180434,663.0178226,706.0248087,679.023861,681.0178543
1,1,5,15-24,484,546.0377041,509,505.0164998,490.031179
2,1,5,15-24,442.0192623,475.0985489,464.0199134,401.0315137,432
3,1,5,15-24,420.0547295,401.0501594,459,403.0511144,419
4,1,5,15-24,336.0155549,336.0379235,381.0556726,367,324.0792409
5,1,5,15-24,283.0162957,307.0369185,306.0350061,305.0509641,254.0565816
All,1,5,15-24,1965.103567,2065.252201,2119.107854,1981.150217,1919.171839
1,2,5,15-24,192,199,189.0070691,170,183
2,2,5,15-24,154,159,177,155,154
3,2,5,15-24,135,160.0074939,176,170,128
4,2,5,15-24,108,113.0064387,136.0064742,115,129.0064388
5,2,5,15-24,104,99.00482383,101.0118491,104.0056221,89
All,2,5,15-24,693,730.0199308,779.0278767,714.0064865,683.0059892
1,1,6,15-24,490.0183248,539,496.0367681,487.0182353,452.0315365
2,1,6,15-24,421.0604275,440,450.0553976,421.0161453,435.088117
3,1,6,15-24,403.0361572,440.01931,444,400,391.0356907
4,1,6,15-24,334.0743034,349,397.0591611,308.0146142,334
5,1,6,15-24,283.0981745,298.0501661,289.0152522,298.0975792,245.0133654
All,1,6,15-24,1931.286299,2066.075544,2076.164858,1914.134092,1857.158586
1,2,6,15-24,177,165,183.0140549,191,201.0070776
2,2,6,15-24,143,156.0063863,163.0084004,139.0063939,168.0077499
3,2,6,15-24,144.0069758,134,136,137,130
4,2,6,15-24,130,117.0058758,114.012407,133,116.0059536
5,2,6,15-24,108.0062865,112.0061035,113.0191263,108.0059756,106
All,2,6,15-24,702.0135991,684.0197972,709.0537233,708.0133707,721.0199701
1,1,7,15-24,536.0554806,526.0371542,487.0173834,526.0356618,528.0178535
2,1,7,15-24,473.0802554,465.0186105,450.0206829,424.0339342,423.0529502
3,1,7,15-24,404,473.0196558,480,390,402.0325301
4,1,7,15-24,347,412,372.0195771,335.0667191,344.0675469
5,1,7,15-24,335.0595435,316.0194465,294.0166523,316.0532846,276.0144994
All,1,7,15-24,2095.189271,2192.09696,2083.072559,1991.186912,1973.181442
1,2,7,15-24,150.0063622,163.0130472,191,175.0075939,180
2,2,7,15-24,152,170.0075684,131,155.0072296,132.0056527
3,2,7,15-24,148,135,146,167,133
4,2,7,15-24,117,117.0126822,114,116,128.007356
5,2,7,15-24,117.0134984,93,93.00536222,110.0060314,99.01808567
All,2,7,15-24,684.0193129,678.0317877,675.0063064,723.0200975,672.0306622
1,1,8,15-24,551.0176328,489.0337385,533.0740445,459,497.0319197
2,1,8,15-24,436,514.0206874,445.0531481,416.0487162,403.0315913
3,1,8,15-24,449.0606317,442,434.0153782,411.0178542,389
4,1,8,15-24,355.0573879,361.0378748,353.0194324,322,312.0468238
5,1,8,15-24,283,354.0208641,308,264.0580913,287.0819285
All,1,8,15-24,2074.131953,2160.114212,2073.162222,1872.12856,1888.191416
1,2,8,15-24,192.0066106,204,193.0077368,170,162.0055177
2,2,8,15-24,134.0058107,167,138,135.0057127,184.0273384
3,2,8,15-24,133.0054213,135.0065985,122,134,124.0063924
4,2,8,15-24,127.0165696,138.0080455,119,105,114.0063061
5,2,8,15-24,116.0132213,104.0067663,90.00478105,99.01121407,98.01224621
All,2,8,15-24,702.0470843,748.0210845,662.0123892,643.0179021,682.050101
1,1,9,15-24,432,497.0357217,428,461.032028,467.0643023
2,1,9,15-24,408.0529896,434.0375948,428.0156735,404,419.033986
3,1,9,15-24,340.0144928,384,402.0178526,414.0350048,399.015989
4,1,9,15-24,328.0381883,318.051572,356,332.0187532,303.0459863
5,1,9,15-24,287.0523102,302.0547291,311,258.0906351,276.0332122
All,1,9,15-24,1795.150712,1935.177055,1925.033885,1869.181389,1864.19348
1,2,9,15-24,177,172.0060849,188.0145384,178,162.0107856
2,2,9,15-24,159,158.006442,153.0068058,170,128.0046987
3,2,9,15-24,145.0138202,152.0134087,123.0054717,124,139
4,2,9,15-24,111,133.0070252,115.0050847,108.0057093,122
5,2,9,15-24,89.00640146,122.0059822,93,88.01052055,97.01165007
All,2,9,15-24,681.0198925,737.0421119,672.0315088,668.0190241,648.0302552
1,1,10,15-24,476.034298,515.034501,468.061246,473.0157252,436.0384226
2,1,10,15-24,430.0171699,454,439.0368203,428.0141611,428
3,1,10,15-24,398.0360345,434.0174509,413.0167808,402,399
4,1,10,15-24,336.0162701,339.0149016,373.0754178,312.0158296,332.0168131
5,1,10,15-24,303.034205,307.0607718,275.0262852,289.129597,283.0148198
All,1,10,15-24,1943.1368,2049.139691,1968.215451,1904.173871,1878.07656
1,2,10,15-24,183,187,194.0071445,163,176
2,2,10,15-24,156.0074672,147,145,140.0184575,158
3,2,10,15-24,138.0071269,137.0064469,135,167,155
4,2,10,15-24,120,140.00709,134,105,118
5,2,10,15-24,98,109.0057718,104,107.0217514,101
All,2,10,15-24,695.012648,720.0193613,712.0063365,682.0420884,708
1,1,11,15-24,436.0144088,492.0810003,463.014619,430.0133483,484.0308721
2,1,11,15-24,367.0150081,438,390.014256,413,419.0160994
3,1,11,15-24,370,423.0344056,371,368,376
4,1,11,15-24,329.0167706,362.0171001,371.0687475,282.0136315,321.0301899
5,1,11,15-24,291.0147363,304.0309151,280.0152185,226.1057624,254.0269235
All,1,11,15-24,1793.064231,2019.174181,1875.110585,1719.143783,1854.105153
1,2,11,15-24,148,189.0063742,182,148,180.0064973
2,2,11,15-24,157,165,150.0060976,146,139.0046415
3,2,11,15-24,145.0073529,159.0071632,135,120,141
4,2,11,15-24,117,147,120.0063808,130,123.0055358
5,2,11,15-24,95.00524157,100.0272084,94.00519913,99.01214698,90.02335883
All,2,11,15-24,662.0122453,760.0477636,681.0182095,643.0112997,673.0465772
1,1,12,15-24,460.0152826,488.0762222,467.0145078,400.02463,432.0133275
2,1,12,15-24,418.0326952,433.0150382,423.0757747,385.0140356,458
3,1,12,15-24,423.034757,406,371,384,436
4,1,12,15-24,301,337.0623565,336.0158602,288.0118737,310.0141514
5,1,12,15-24,273.0298138,341.0389276,290.0435234,252.050131,267.0656192
All,1,12,15-24,1875.110334,2005.190116,1887.143894,1709.107058,1903.1017
1,2,12,15-24,168.009165,183.0163356,223.007141,153,185
2,2,12,15-24,151.0190172,171,156.0115765,134,169.0066953
3,2,12,15-24,136.0060018,164,159.0053428,146,139.0049035
4,2,12,15-24,138,127.0116797,128,114.0046464,108
5,2,12,15-24,101.0052573,133,104,101.0103637,95.00917905
All,2,12,15-24,694.0423303,778.0317199,770.0241559,648.0159918,696.0222754
1,1,1,25-34,703,733.0458516,845.1330616,785,728
2,1,1,25-34,608.0439057,625.0236239,706.0238996,745.0943941,691
3,1,1,25-34,571.0210346,674,778.0295983,745,670.025243
4,1,1,25-34,503.0902173,543,681.0321089,641.1090701,603.0289778
5,1,1,25-34,439.04552,453,516.0228993,539,471.069706
All,1,1,25-34,2824.193426,3028.072934,3526.239482,3455.191637,3163.120086
1,2,1,25-34,358.0127498,370,411,408,368.0113352
2,2,1,25-34,306,260,316,363.0127436,314
3,2,1,25-34,290.011153,301,315,333,298.0236156
4,2,1,25-34,220.0185876,233,286,304,240
5,2,1,25-34,175.0086393,166,212,266,210.0108381
All,2,1,25-34,1349.050358,1330,1540,1674.011747,1430.045417
1,1,2,25-34,620.0630293,726.0454045,737,704,712
2,1,2,25-34,531.0206668,663.0512147,653,642.0468551,638
3,1,2,25-34,494.0210256,658.0262656,683.0283043,639.0252461,673
4,1,2,25-34,484.0744366,557.0560876,612.0306823,559.0280832,586.0845713
5,1,2,25-34,399.0211193,482,468,440,432.1183219
All,1,2,25-34,2528.201009,3086.185396,3153.053388,2984.099448,3041.203126
1,2,2,25-34,311.0093277,335,350.0124836,339,378
2,2,2,25-34,260,274,334,315,256
3,2,2,25-34,252.0104919,302,284,323.0136975,279
4,2,2,25-34,218.0120614,237,237.0232595,257.013723,219
5,2,2,25-34,166,199,175,214,199
All,2,2,25-34,1207.031806,1347,1380.035783,1448.024759,1331
1,1,3,25-34,749.0727951,789,845.0515266,809,870.0563057
2,1,3,25-34,666,660.0495342,707.0790837,726.0822657,726.0242599
3,1,3,25-34,625.0236781,744.0274472,714.0267836,760.0301781,700.026491
4,1,3,25-34,548.0542605,589.0576625,608.0562396,621.0950189,662.0621429
5,1,3,25-34,427,500.0760337,486.1009136,516.1294969,526.0527622
All,1,3,25-34,3015.14872,3282.211992,3360.317078,3432.323827,3484.212986
1,2,3,25-34,370,378.0118,411,388.0135875,350.0226562
2,2,3,25-34,272.0192574,325,328.0252251,295.0232707,350
3,2,3,25-34,268,291.0113636,314,329,308
4,2,3,25-34,219.0206266,209,266.0141293,268.0124229,263
5,2,3,25-34,177.0191015,216,214,186,195.0099102
All,2,3,25-34,1306.064727,1419.023568,1533.036923,1466.04822,1466.035452
1,1,4,25-34,717.0259843,736.0498422,784,787,790.0241167
2,1,4,25-34,636,671.0263244,770.0907323,733.0536043,716.0283463
3,1,4,25-34,576,691.0586898,714.0589414,710.0580879,716
4,1,4,25-34,514.0532211,588.0594687,618,599.0289699,615.0953079
5,1,4,25-34,438.0251073,505.0873451,493.0822406,470.1051988,494.0529552
All,1,4,25-34,2881.101817,3191.276091,3379.22911,3299.248825,3331.192993
1,2,4,25-34,320,336,349.0130278,372.0128127,333
2,2,4,25-34,272.0218935,301.0141213,320,320,317.0266958
3,2,4,25-34,276.0129439,280,292.0125725,293.0239092,321
4,2,4,25-34,222,249.013896,273.029029,237.0115323,241.0131804
5,2,4,25-34,160,192.009738,194,208,196
All,2,4,25-34,1250.033713,1358.036505,1428.05018,1430.050252,1408.036915
1,1,5,25-34,779,811.0559254,846,838.0274576,842.0533004
2,1,5,25-34,675.027623,738.1505908,807.0318772,742.0584259,794
3,1,5,25-34,621.0803767,677.085405,774,780.0984683,697
4,1,5,25-34,578.0324669,652.0692156,639.0958119,627,639.1539758
5,1,5,25-34,417.0244968,497.0597525,544.0605018,540.0897449,509.1091949
All,1,5,25-34,3070.161807,3375.412192,3610.183743,3527.267449,3481.311709
1,2,5,25-34,389,358,397.0149699,414,369
2,2,5,25-34,301,318,338,313,313
3,2,5,25-34,279,316.0139421,322,311,344
4,2,5,25-34,223,258.0129829,253.0127428,300,265.0129767
5,2,5,25-34,182,196.0113255,203.0218273,197.0106078,203
All,2,5,25-34,1374,1446.039479,1513.054143,1535.013945,1494.013101
1,1,6,25-34,752.0290081,837,851.0608806,833.0285017,827.0529314
2,1,6,25-34,597.0730935,679,786.0962527,795.031702,736.1485176
3,1,6,25-34,654.0587186,712.0318477,758,734,747.0626239
4,1,6,25-34,569.1335692,628,739.1214524,648.0317833,663
5,1,6,25-34,450.1692065,488.0893688,530.0287823,533.1557001,522.0311162
All,1,6,25-34,3022.448056,3344.122275,3664.290963,3543.248218,3495.29847
1,2,6,25-34,317,379,413.0288343,354,404.0153585
2,2,6,25-34,268,294.0137761,333.0144382,291.0119657,304.0147871
3,2,6,25-34,245.0116919,291,320,310,339
4,2,6,25-34,235,235.0155211,288.0313936,279,264.0148318
5,2,6,25-34,164.0107768,211.0097656,229.0403325,212.0123171,201
All,2,6,25-34,1229.023808,1410.04081,1583.119949,1446.027308,1512.041879
1,1,7,25-34,809.0827973,828.0560005,847.0281346,896.0602755,871.0268142
2,1,7,25-34,696.1181874,804.0331789,781.0342282,762.0610121,763.0935194
3,1,7,25-34,680,773.0325628,825,758,806.06522
4,1,7,25-34,549,639,730.0380025,689.1371881,729.1431011
5,1,7,25-34,433.0774065,555.0335506,562.0338419,552.0902724,528.0264672
All,1,7,25-34,3167.28612,3599.159197,3745.130454,3657.343313,3697.339985
1,2,7,25-34,353.014013,379.0290812,375,369.0136691,357
2,2,7,25-34,294,346.0163689,327,310.0139236,339.0149578
3,2,7,25-34,281,306,336,332,341
4,2,7,25-34,220,299.0324282,275,263,286.0160782
5,2,7,25-34,186.0218093,221,220.0143357,249.0160105,209.0333157
All,2,7,25-34,1334.037666,1551.072718,1533.014323,1523.042335,1532.069903
1,1,8,25-34,760.0269635,834.0574994,931.1232516,893,881.0601068
2,1,8,25-34,708,780.0316149,757.0868336,751.0882707,843.0660962
3,1,8,25-34,633.0842127,795,793.0321008,748.0297844,724
4,1,8,25-34,567.0901991,675.0732246,684.0378367,643,668.0989851
5,1,8,25-34,451,508.030137,546,498.1112033,535.1444182
All,1,8,25-34,3119.198439,3592.189931,3711.290403,3533.24263,3651.370159
1,2,8,25-34,337.011353,373,364.0160437,368,391.0141885
2,2,8,25-34,324.0142455,335,310,341.0148712,333.0443604
3,2,8,25-34,248.0103832,314.0138476,332,355,329.0155758
4,2,8,25-34,261.031348,247.0145891,303,265,277.0149637
5,2,8,25-34,192.0262185,216.0123322,217.0141258,215.0240857,219.0259963
All,2,8,25-34,1362.091352,1485.041859,1526.028559,1544.042987,1549.113792
1,1,9,25-34,759,809.057927,878,888.0614911,834.108381
2,1,9,25-34,652.0837806,734.063531,773.0287486,767,754.0612339
3,1,9,25-34,614.0259393,659,730.0321516,690.0605583,738.0300868
4,1,9,25-34,585.0597247,609.0967441,694,635.0345183,629.0974183
5,1,9,25-34,428.0798891,489.0875952,534,516.1837847,526.0550078
All,1,9,25-34,3038.255077,3300.301954,3609.063529,3496.339292,3481.361321
1,2,9,25-34,355,386.0138163,351.0269768,374,360.027547
2,2,9,25-34,311,301.0119503,338.0140653,330,282.0123791
3,2,9,25-34,248.0237001,282.0287329,309.0148113,290,306
4,2,9,25-34,231,254.012843,248.0136653,260.0130654,247
5,2,9,25-34,196.0133745,215.0113539,214,207.0280548,225.0273247
All,2,9,25-34,1341.039172,1438.082167,1460.068457,1461.041608,1420.0663
1,1,10,25-34,737.0485888,798.0533603,848.1110356,800.0232841,839.0808898
2,1,10,25-34,668.0262201,817,759.0656838,756.0295224,756
3,1,10,25-34,627.0549736,815.0339232,728.0280514,734,757
4,1,10,25-34,604.0288794,676.0338764,658.1282579,648.0297049,637.0288498
5,1,10,25-34,488.0549844,501.1038977,500.0525704,448.1950115,518.0285878
All,1,10,25-34,3124.21995,3607.245907,3493.382404,3386.309206,3507.142969
1,2,10,25-34,358,403,360.0144444,374,396
2,2,10,25-34,282.011635,331,333,350.0447892,335
3,2,10,25-34,300.0133093,316.0135295,323,339,320
4,2,10,25-34,255,255.0120531,241,252,282
5,2,10,25-34,182,216.011091,201,211.0457978,195
All,2,10,25-34,1377.025059,1521.040901,1458.012976,1526.094174,1528
1,1,11,25-34,696.0269997,768.1266118,883.0301913,771.024763,820.0521996
2,1,11,25-34,636.02652,740,741.0297133,683,752.0269856
3,1,11,25-34,603,730.0600378,727,697,738
4,1,11,25-34,583.0311761,627.0301044,630.1252469,608.0292243,607.057091
5,1,11,25-34,444.0239922,520.0626546,480.027455,457.2244424,474.0532573
All,1,11,25-34,2962.106109,3385.292027,3461.204125,3216.268998,3391.192327
1,2,11,25-34,326,315.0104181,392,361,373.0130685
2,2,11,25-34,304,325,325.011594,349,365.0147534
3,2,11,25-34,268.0124911,321.0158876,333,292,334
4,2,11,25-34,234,240,264.0134937,256,270.0126532
5,2,11,25-34,166.0099134,215.0597575,217.0136217,184.0212572,210.0596434
All,2,11,25-34,1298.02401,1416.088991,1531.040938,1442.025341,1552.107411
1,1,12,25-34,764.0247553,799.1232729,833.0259549,804.0495145,882.0262814
2,1,12,25-34,678.0530079,706.0261069,745.1324199,729.0252037,758
3,1,12,25-34,642.0527704,730,732,682,743
4,1,12,25-34,540,658.1190889,595.0277778,618.0270756,642.0294896
5,1,12,25-34,407.0444012,575.0608721,533.0780199,503.1026776,604.149868
All,1,12,25-34,3031.178359,3468.32884,3438.262167,3336.208978,3629.193941
1,2,12,25-34,348.0247995,389.0391684,437.0138852,391,361
2,2,12,25-34,298.0365789,323,334.0255903,346,367.0142932
3,2,12,25-34,289.0126214,359,327.0121153,333,350.0128617
4,2,12,25-34,203,303.0278761,275,258.0123594,278
5,2,12,25-34,171.0083893,264,208,157.0163132,249.0239275
All,2,12,25-34,1309.079842,1638.066783,1581.049598,1485.036648,1605.051368
1,1,1,35-44,1056,1110.069626,1171.172626,1139,1154
2,1,1,35-44,837.0607584,860.0326565,1007.033887,967.124173,897
3,1,1,35-44,785.0313182,824,940.0344828,916,932.0345867
4,1,1,35-44,665.1221234,676,787.0340656,772.1274211,790.0352889
5,1,1,35-44,536.0518172,580,620.0276167,612,618.0908583
All,1,1,35-44,3879.265687,4050.09755,4525.307333,4406.244386,4391.166708
1,2,1,35-44,682.0218839,672,732,709,715.0230361
2,2,1,35-44,500,530,557,571.0178547,578
3,2,1,35-44,467.0182218,446,496,563,532.0421761
4,2,1,35-44,407.0344067,435,391,446,437
5,2,1,35-44,310.0156371,314,345,360,328.0155097
All,2,1,35-44,2366.088322,2397,2521,2649.018589,2590.082259
1,1,2,35-44,944.0956149,1016.068382,991,1020,1011
2,1,2,35-44,765.0317231,789.0608995,845,811.0584498,803
3,1,2,35-44,704.0323932,786.0344685,779.0304486,835.0316767,790
4,1,2,35-44,615.0949181,644.0647265,667.0340129,674.0341795,734.107323
5,1,2,35-44,479.0255778,504,526,585,605.1634522
All,1,2,35-44,3507.278852,3739.224626,3808.064478,3925.130808,3943.263376
1,2,2,35-44,600.0203211,665,582.0197109,666,589
2,2,2,35-44,464,515,498,520,543
3,2,2,35-44,414.0181299,454,479,459.0205037,452
4,2,2,35-44,349.0166467,411,384.0376856,363.0172771,370
5,2,2,35-44,279,310,306,311,277
All,2,2,35-44,2106.055496,2355,2249.058316,2319.039652,2231
1,1,3,35-44,1027.093332,1076,1112.067846,1116,1190.065843
2,1,3,35-44,874,886.0618012,975.1063573,924.1011463,946.0313357
3,1,3,35-44,741.0302376,876.0343487,872.0329705,867.0336004,908.0343348
4,1,3,35-44,710.0687561,712.0708204,735.0679808,739.0988859,855.0792857
5,1,3,35-44,561,608.094093,612.1253846,636.1606713,614.0632411
All,1,3,35-44,3913.193015,4158.268574,4306.406351,4282.404029,4513.275892
1,2,3,35-44,712,673.0217502,665,660.0208437,662.0464244
2,2,3,35-44,490.0394941,536,543.0418155,560.0441678,569
3,2,3,35-44,454,517.0220871,512,490,561
4,2,3,35-44,366.0344746,380,415.0197436,411.0203888,427
5,2,3,35-44,354.0350843,328,356,342,327.0175049
All,2,3,35-44,2376.117758,2434.040426,2491.059997,2463.081013,2546.061569
1,1,4,35-44,975.0317585,1053.063237,1075,1028,1082.037628
2,1,4,35-44,754,867.032475,909.1094812,860.0665653,946.03831
3,1,4,35-44,725,810.0687876,869.0717001,852.0688987,896
4,1,4,35-44,618.0638618,722.0730221,758,784.0420308,787.1093842
5,1,4,35-44,520.0293991,551.093725,569.0938899,558.1243629,624.0692186
All,1,4,35-44,3592.126944,4003.346346,4180.283421,4082.307882,4335.251163
1,2,4,35-44,601,637,613.0236033,652.022928,650
2,2,4,35-44,470.0396089,511.021182,525,520,534.0439893
3,2,4,35-44,463.0196713,465,518.0236504,480.0422339,519
4,2,4,35-44,365,406.0218219,429.0438438,403.0217609,412.0210283
5,2,4,35-44,316,327.0170415,305,293,325
All,2,4,35-44,2215.05974,2346.063065,2390.083984,2348.082512,2440.063971
1,1,5,35-44,1021,1072.074147,1127,1106.035582,1229.077975
2,1,5,35-44,837.0357377,892.1836161,912.0358127,884.0696024,931
3,1,5,35-44,798.1009272,862.1098297,826,872.1073298,887
4,1,5,35-44,665.033302,658.0698373,753.111962,778,822.1965338
5,1,5,35-44,514.0306742,559.0623133,625.0720356,605.1008019,635.1375594
All,1,5,35-44,3835.202128,4043.493776,4243.215962,4245.321894,4504.403315
1,2,5,35-44,648,627,616.0221083,650,617
2,2,5,35-44,480,507,532,532,513
3,2,5,35-44,483,473.021436,508,475,530
4,2,5,35-44,413,400.0227992,405.0220943,376,423.0230807
5,2,5,35-44,301,304.017932,312.0345078,324.0184576,333
All,2,5,35-44,2325,2311.063096,2373.084918,2357.021413,2416.021186
1,1,6,35-44,1043.037095,1045,1088.075934,1130.039917,1121.075577
2,1,6,35-44,816.1029114,901,866.1071493,972.0389337,959.1901735
3,1,6,35-44,744.066825,771.0335865,858,861,954.0812954
4,1,6,35-44,683.1468377,703,711.1045492,805.0423097,789
5,1,6,35-44,504.1822722,601.1142857,582.0321033,685.201557,624.0362326
All,1,6,35-44,3790.561924,4021.14703,4105.325983,4453.311971,4447.379771
1,2,6,35-44,613,616,640.0483953,626,665.02279
2,2,6,35-44,466,503.0228081,515.0240637,529.0229266,490.0216462
3,2,6,35-44,474.022303,469,475,506,448
4,2,6,35-44,345,392.0251663,390.0425054,411,385.02183
5,2,6,35-44,285.0176246,295.0153809,280.0484117,317.0168293,346
All,2,6,35-44,2183.042289,2275.065846,2300.174279,2389.045117,2334.064647
1,1,7,35-44,1093.112846,1121.075789,1172.039863,1126.078176,1219.041681
2,1,7,35-44,876.148785,930.0364632,942.0398248,967.0773825,970.1167307
3,1,7,35-44,805,877.0399021,864,906,956.0773597
4,1,7,35-44,702,777,770.0373744,814.1619936,824.161713
5,1,7,35-44,542.0999008,579.0370766,613.0388913,628.1056634,658.032336
All,1,7,35-44,4018.363002,4284.189497,4361.151912,4441.416913,4627.42551
1,2,7,35-44,639.0279456,674.0547041,670,657.0250999,663
2,2,7,35-44,501,558.0264895,517,546.0237415,570.0239151
3,2,7,35-44,466,516,515,507,448
4,2,7,35-44,389,380.0411932,448,421,406.0216478
5,2,7,35-44,307.0354661,343,326.0207923,351.0222612,329.0574299
All,2,7,35-44,2302.064998,2471.115852,2476.023133,2482.068993,2416.110238
1,1,8,35-44,1050.037249,1075.074039,1102.151027,1134,1183.077611
2,1,8,35-44,850,885.0362029,949.1075439,900.104671,945.0740856
3,1,8,35-44,900.1205259,904,896.0378992,964.0409742,970
4,1,8,35-44,656.1080434,765.0826933,789.0422579,767,809.1206187
5,1,8,35-44,552,597.0366702,622,702.1556017,638.1815377
All,1,8,35-44,4008.254999,4226.223454,4358.341034,4467.306773,4545.460798
1,2,8,35-44,624.0211252,668,668.027038,665,695.0238624
2,2,8,35-44,522.023149,483,499,498.0215814,574.0732462
3,2,8,35-44,468.0204907,522.0238848,514,482,523.0235887
4,2,8,35-44,397.0427676,398.0229564,392,447,421.0229799
5,2,8,35-44,309.0392157,325.0199716,301.0202108,316.0354922,385.0479106
All,2,8,35-44,2320.155606,2396.067538,2374.044429,2408.067042,2598.190854
1,1,9,35-44,1031,1116.080546,1094,1169.081103,1158.160839
2,1,9,35-44,813.1026369,841.072821,874.036292,924,942.0764958
3,1,9,35-44,774.033878,808,844.0358744,822.0696596,928.0398865
4,1,9,35-44,698.0792629,725.1164305,707,747.0387429,851.1261597
5,1,9,35-44,507.0928795,544.098346,633,596.2117457,621.0726518
All,1,9,35-44,3823.320988,4034.369116,4152.073087,4258.413245,4500.467092
1,2,9,35-44,607,610.0219772,665.0544383,638,646.0454744
2,2,9,35-44,473,505.0232471,505.0202359,539,500.022409
3,2,9,35-44,461.0441979,521.0444402,470.0209434,473,475
4,2,9,35-44,388,359.0206367,438.021928,439.0243742,441
5,2,9,35-44,316.0189758,310.0153827,335,309.0363836,325.0379157
All,2,9,35-44,2245.065578,2305.131707,2413.113141,2398.068293,2387.111449
1,1,10,35-44,1041.077742,1118.074868,1099.143695,1104.037255,1102.113448
2,1,10,35-44,830.0315487,905,949.0826898,914.0348828,940
